time,temperature_2m,relative_humidity_2m,wind_speed_10m,date,hour
2026-04-01 00:00:00,25.9,83,2.2,2026-04-01,0
2026-04-01 01:00:00,25.7,83,1.9,2026-04-01,1
2026-04-01 02:00:00,26.7,79,2.3,2026-04-01,2
2026-04-01 03:00:00,28.6,67,4.0,2026-04-01,3
2026-04-01 04:00:00,30.1,60,4.8,2026-04-01,4
2026-04-01 05:00:00,31.5,55,5.1,2026-04-01,5
2026-04-01 06:00:00,32.5,52,7.0,2026-04-01,6
2026-04-01 07:00:00,33.2,48,8.2,2026-04-01,7
2026-04-01 08:00:00,33.3,45,9.0,2026-04-01,8
2026-04-01 09:00:00,33.1,43,9.6,2026-04-01,9
2026-04-01 10:00:00,32.4,43,9.9,2026-04-01,10
2026-04-01 11:00:00,31.2,50,10.0,2026-04-01,11
2026-04-01 12:00:00,29.8,56,9.8,2026-04-01,12
2026-04-01 13:00:00,28.4,65,8.2,2026-04-01,13
2026-04-01 14:00:00,27.8,70,6.9,2026-04-01,14
2026-04-01 15:00:00,27.4,72,5.5,2026-04-01,15
2026-04-01 16:00:00,27.1,75,4.7,2026-04-01,16
2026-04-01 17:00:00,26.8,77,4.1,2026-04-01,17
2026-04-01 18:00:00,26.6,77,3.8,2026-04-01,18
2026-04-01 19:00:00,26.4,79,3.2,2026-04-01,19
2026-04-01 20:00:00,26.1,80,2.5,2026-04-01,20
2026-04-01 21:00:00,25.8,81,2.1,2026-04-01,21
2026-04-01 22:00:00,25.4,83,2.6,2026-04-01,22
2026-04-01 23:00:00,24.9,85,3.3,2026-04-01,23
2026-04-02 00:00:00,24.4,86,3.6,2026-04-02,0
2026-04-02 01:00:00,24.1,86,3.6,2026-04-02,1
2026-04-02 02:00:00,25.3,81,4.3,2026-04-02,2
2026-04-02 03:00:00,27.7,71,5.1,2026-04-02,3
2026-04-02 04:00:00,30.0,63,4.1,2026-04-02,4
2026-04-02 05:00:00,31.7,56,5.5,2026-04-02,5
2026-04-02 06:00:00,32.8,52,7.4,2026-04-02,6
2026-04-02 07:00:00,33.4,51,8.9,2026-04-02,7
2026-04-02 08:00:00,33.5,52,9.7,2026-04-02,8
2026-04-02 09:00:00,33.2,52,10.5,2026-04-02,9
2026-04-02 10:00:00,32.6,55,10.8,2026-04-02,10
2026-04-02 11:00:00,31.4,62,10.8,2026-04-02,11
2026-04-02 12:00:00,30.0,68,10.0,2026-04-02,12
2026-04-02 13:00:00,28.8,73,8.0,2026-04-02,13
2026-04-02 14:00:00,28.2,79,6.6,2026-04-02,14
2026-04-02 15:00:00,27.9,81,5.9,2026-04-02,15
2026-04-02 16:00:00,27.7,82,5.4,2026-04-02,16
2026-04-02 17:00:00,27.4,84,4.3,2026-04-02,17
2026-04-02 18:00:00,27.1,86,2.8,2026-04-02,18
2026-04-02 19:00:00,27.0,87,1.9,2026-04-02,19
2026-04-02 20:00:00,26.9,87,1.1,2026-04-02,20
2026-04-02 21:00:00,26.7,88,1.0,2026-04-02,21
2026-04-02 22:00:00,26.4,89,1.3,2026-04-02,22
2026-04-02 23:00:00,26.2,90,2.3,2026-04-02,23
